tournament_name,stage_name,group_stage,knockout_stage,match_date,team_name,opponent_name,home_team,away_team,goals_for,goals_against,is_host,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,yellow_cards,red_cards,team_prior_win_rate,team_prior_matches,extra_time,penalty_shootout,outcome,year
1974 FIFA Men's World Cup,group stage,1,0,1974-06-18,Chile,East Germany,1,0,1,1,0,,,,,,,,2,0,0.4666666666666667,15,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-18,East Germany,Chile,0,1,1,1,0,,,,,,,,1,0,0.0,0,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-18,Brazil,Scotland,0,1,0,0,0,,,,,,,,3,0,0.6842105263157895,38,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-18,Yugoslavia,Zaire,1,0,9,0,0,,,,,,,,1,0,0.4736842105263157,19,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-18,Zaire,Yugoslavia,0,1,0,9,0,,,,,,,,0,1,0.0,0,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Bulgaria,Uruguay,1,0,1,1,0,,,,,,,,1,0,0.0,9,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Uruguay,Bulgaria,0,1,1,1,0,,,,,,,,1,0,0.5384615384615384,26,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Netherlands,Sweden,1,0,0,0,0,,,,,,,,1,0,0.0,2,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Sweden,Netherlands,0,1,0,0,0,,,,,,,,4,0,0.4736842105263157,19,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Argentina,Italy,1,0,1,1,0,,,,,,,,1,0,0.5,16,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Italy,Argentina,0,1,1,1,0,,,,,,,,1,0,0.5769230769230769,26,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-19,Haiti,Poland,1,0,0,7,0,,,,,,,,1,0,0.0,0,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,Australia,Chile,1,0,0,0,0,,,,,,,,1,1,0.0,0,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,Scotland,Yugoslavia,1,0,1,1,0,,,,,,,,2,0,0.0,5,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,Yugoslavia,Scotland,0,1,1,1,0,,,,,,,,3,0,0.4736842105263157,19,0,0,Draw,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,Zaire,Brazil,1,0,0,3,0,,,,,,,,1,0,0.0,0,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,Brazil,Zaire,0,1,3,0,0,,,,,,,,1,0,0.6842105263157895,38,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-22,East Germany,West Germany,1,0,1,0,0,,,,,,,,3,0,0.0,0,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Bulgaria,Netherlands,1,0,1,4,0,,,,,,,,2,0,0.0,9,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Netherlands,Bulgaria,0,1,4,1,0,,,,,,,,3,0,0.0,2,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Uruguay,Sweden,0,1,0,3,0,,,,,,,,1,0,0.5384615384615384,26,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Argentina,Haiti,1,0,4,1,0,,,,,,,,2,0,0.5,16,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Haiti,Argentina,0,1,1,4,0,,,,,,,,1,0,0.0,0,0,0,Loss,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Poland,Italy,1,0,2,1,0,,,,,,,,2,0,0.0,1,0,0,Win,1974
1974 FIFA Men's World Cup,group stage,1,0,1974-06-23,Italy,Poland,0,1,1,2,0,,,,,,,,1,0,0.5769230769230769,26,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,Yugoslavia,West Germany,1,0,0,2,0,,,,,,,,2,0,0.4736842105263157,19,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,West Germany,Yugoslavia,0,1,2,0,0,,,,,,,,2,0,0.6428571428571429,28,0,0,Win,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,Brazil,East Germany,1,0,1,0,0,,,,,,,,3,0,0.6842105263157895,38,0,0,Win,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,East Germany,Brazil,0,1,0,1,0,,,,,,,,2,0,0.0,0,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,Netherlands,Argentina,1,0,4,0,0,,,,,,,,2,0,0.0,2,0,0,Win,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,Argentina,Netherlands,0,1,0,4,0,,,,,,,,1,0,0.5,16,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-26,Poland,Sweden,0,1,1,0,0,,,,,,,,2,0,0.0,1,0,0,Win,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-30,Argentina,Brazil,1,0,1,2,0,,,,,,,,1,0,0.5,16,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-06-30,Sweden,West Germany,0,1,2,4,0,,,,,,,,1,0,0.4736842105263157,19,0,0,Loss,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-07-03,Argentina,East Germany,1,0,1,1,0,,,,,,,,1,0,0.5,16,0,0,Draw,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-07-03,East Germany,Argentina,0,1,1,1,0,,,,,,,,1,0,0.0,0,0,0,Draw,1974
1974 FIFA Men's World Cup,second group stage,1,0,1974-07-03,Netherlands,Brazil,1,0,2,0,0,,,,,,,,2,0,0.0,2,0,0,Win,1974
