tournament_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_name,city_name,country_name,team_name,team_code,opponent_name,opponent_code,home_team,away_team,goals_for,goals_against,extra_time,penalty_shootout,penalties_for,penalties_against,result,is_host,yellow_cards,red_cards,possession,shots,shots_on_target,passes_completed,passes_attempted,corners,fouls,team_prior_matches,team_prior_win_rate,team_prior_goals_scored_avg,team_prior_goals_conceded_avg,opp_prior_matches,opp_prior_win_rate,opp_prior_goals_scored_avg,opp_prior_goals_conceded_avg,h2h_prior_matches,h2h_prior_win_rate,team_curr_form_pts_avg,team_curr_goals_scored_avg,team_curr_goals_conceded_avg,opp_curr_form_pts_avg,opp_curr_goals_scored_avg,opp_curr_goals_conceded_avg,possession_h1,possession_h2,shots_h1,shots_h2,shots_on_target_h1,shots_on_target_h2,passes_completed_h1,passes_completed_h2,passes_attempted_h1,passes_attempted_h2,corners_h1,corners_h2,fouls_h1,fouls_h2,yellow_cards_h1,yellow_cards_h2,red_cards_h1,red_cards_h2,outcome
1970 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1970-06-11,16:00,Estadio Azteca,Mexico City,Mexico,Mexico,MEX,Belgium,BEL,1,0,1,0,0,0,0,0,win,1,2,0,,,,,,,,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,6,0.0,1.3333333333333333,3.3333333333333335,0,0.0,2.0,2.0,0.0,1.5,2.0,2.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,Win
1970 FIFA Men's World Cup,group stage,Group 1,1,0,0,0,1970-06-11,16:00,Estadio Azteca,Mexico City,Mexico,Belgium,BEL,Mexico,MEX,0,1,0,1,0,0,0,0,lose,0,3,0,,,,,,,,6,0.0,1.3333333333333333,3.3333333333333335,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,0,0.0,1.5,2.0,2.0,2.3333333333333335,1.6666666666666667,0.0,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1970-06-11,16:00,La Bombonera,Toluca,Mexico,Italy,ITA,Israel,ISR,1,0,0,0,0,0,0,0,draw,0,1,0,,,,,,,,20,0.6,1.9,1.1,0,0.0,0.0,0.0,0,0.0,2.0,0.5,0.0,0.5,0.5,1.5,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 2,1,0,0,0,1970-06-11,16:00,La Bombonera,Toluca,Mexico,Israel,ISR,Italy,ITA,0,1,0,0,0,0,0,0,draw,0,2,0,,,,,,,,0,0.0,0.0,0.0,20,0.6,1.9,1.1,0,0.0,0.5,0.5,1.5,1.6666666666666667,0.3333333333333333,0.0,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,Draw
1970 FIFA Men's World Cup,group stage,Group 3,1,0,0,0,1970-06-11,16:00,Estadio Jalisco,Guadalajara,Mexico,Czechoslovakia,CSK,England,ENG,0,1,0,1,0,0,0,0,lose,0,1,0,,,,,,,,19,0.4210526315789473,1.5789473684210529,1.5263157894736843,20,0.4,1.5,1.2,0,0.0,0.0,1.0,3.0,2.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,quarter-finals,not applicable,0,1,0,0,1970-06-14,12:00,La Bombonera,Toluca,Mexico,Italy,ITA,Mexico,MEX,1,0,4,1,0,0,0,0,win,0,1,0,,,,,,,,20,0.6,1.9,1.1,17,0.0588235294117647,0.7647058823529411,2.7058823529411766,0,0.0,1.6666666666666667,0.3333333333333333,0.0,2.3333333333333335,1.6666666666666667,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,Win
1970 FIFA Men's World Cup,quarter-finals,not applicable,0,1,0,0,1970-06-14,12:00,Estadio Azteca,Mexico City,Mexico,Soviet Union,SUN,Uruguay,URY,1,0,0,1,1,0,0,0,lose,0,3,0,,,,,,,,15,0.5333333333333333,1.6,1.2666666666666666,20,0.6,2.6,1.4,1,1.0,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,quarter-finals,not applicable,0,1,0,0,1970-06-14,12:00,Estadio Azteca,Mexico City,Mexico,Uruguay,URY,Soviet Union,SUN,0,1,1,0,1,0,0,0,win,0,3,0,,,,,,,,20,0.6,2.6,1.4,15,0.5333333333333333,1.6,1.2666666666666666,1,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.75,1.5,0.5,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,Win
1970 FIFA Men's World Cup,quarter-finals,not applicable,0,1,0,0,1970-06-14,12:00,Estadio Nou Camp,León,Mexico,West Germany,DEU,England,ENG,1,0,3,2,1,0,0,0,win,0,1,0,,,,,,,,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,20,0.4,1.5,1.2,1,0.0,3.0,3.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Win
1970 FIFA Men's World Cup,quarter-finals,not applicable,0,1,0,0,1970-06-14,12:00,Estadio Nou Camp,León,Mexico,England,ENG,West Germany,DEU,0,1,2,3,1,0,0,0,lose,0,1,0,,,,,,,,20,0.4,1.5,1.2,22,0.5909090909090909,2.5454545454545454,1.6363636363636365,1,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,3.25,1.5,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Loss
1970 FIFA Men's World Cup,semi-finals,not applicable,0,1,0,0,1970-06-17,16:00,Estadio Jalisco,Guadalajara,Mexico,Brazil,BRA,Uruguay,URY,1,0,3,1,0,0,0,0,win,0,1,0,,,,,,,,32,0.625,2.625,1.3125,20,0.6,2.6,1.4,1,0.0,3.0,3.0,1.25,1.75,0.75,0.25,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,Win
1970 FIFA Men's World Cup,semi-finals,not applicable,0,1,0,0,1970-06-17,16:00,Estadio Jalisco,Guadalajara,Mexico,Uruguay,URY,Brazil,BRA,0,1,1,3,0,0,0,0,lose,0,3,0,,,,,,,,20,0.6,2.6,1.4,32,0.625,2.625,1.3125,1,1.0,1.75,0.75,0.25,3.0,3.0,1.2,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,Loss
